,Scope,Функціонал /Блок,Епік,Модуль,Вимога,Важливість,Покриття вимоги,Пропозиція по рішенню,Оцінка БА (год),Оцінка Розробників (год),Use Case,Коментарі(Деталі GAP та ризики),Статус реалізації,MVP - Stage 1 - Stage 2 - Нові потреби - Не потрібно - Зміна потреб,Примітки БА,Примітки щодо реалізації з моделем Appoitments,Коментарі та побажання замовника
,3. Управління Клієнтами (CRM),Управління Клієнтами (CRM),Кабінет клієнта,contacts,"Швидке створення карток лояльності, сертифікатів, депозитних карток з картки клієнта(res.partner)",Критично,Кастомізація,"Додати кнопку Створити портального юзера в респартнер
Переробити логіку валідації портального юзера відповідно до способу логіна(за номером телефону)","0,5",2,UC-FR6.1.2,"GAP: Потрібно додати кнопку ""Створити портального юзера"" на картку контакту для спрощення реєстрації клієнтів в особистому кабінеті. Переписати логіку  підтвердження реєстрації на підтвердження через номер телефону",Не реалізовано,MVP,,,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,"contacts, account","Створення, пошук, перегляд та редагування базових даних клієнта (ПІБ, телефон, email, адреса).",Критично,Стандартний функціонал,,0,0,UC-FR6.1.1,Базовий функціонал Odoo.,Базовий функціонал,MVP,,,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,contacts,Перевірка унікальності номера телефону при створенні/редагуванні клієнта.,Критично,Розробка,"Реалізувати логіку на моделі res.partner, яка перевірятиме унікальність значень в полях phone та mobile.
стандартизація номеру телефону
@staticmethod
    def formatting_phone(phone):
        phone = phone.replace("" "", """")
        sep = ""{}{}{}{} {}{} {}{}{} {}{}{}{}""
        if phone.__len__() == 13 and phone[0:4] == ""+380"":
            pass
        elif phone.__len__() == 12 and phone[0:3] == ""380"":
            phone = ""+"" + phone
        elif phone.__len__() == 11 and phone[0:2] == ""80"":
            phone = ""+3"" + phone
        elif phone.__len__() == 10 and phone[0] == ""0"":
            phone = ""+38"" + phone
        else:
            raise UserError(_(""Incorrect phone number""))
        return sep.format(*phone)","0,5","2,50",UC-FR6.1.1,"GAP: Odoo дозволяє створювати контакти з однаковими номерами телефонів.
Ризик: Плутанина в клієнтській базі, неможливість однозначної ідентифікації клієнта по телефону.",Є на стейджі,MVP,,,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,contacts,Створення карток лояльності з картки клієнта(res.partner),Важливо,Кастомізація,Реалізувати можливість створення всіх карток з програм лояльності з картки контакту,3,10,"UC-FR6.1.1, UC-FR6.1.3",,Є на стейджі,MVP,,,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,contacts,Перевірка коректності формату email.,Критично,Стандартний функціонал,,0,0,UC-FR6.1.1,Стандартна поведінка системи.,Базовий функціонал,MVP,,,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,termi_customer_management,Відображення фінансового балансу клієнта в його профілі.,Критично,Розробка,"Модуль termi_customer_management. Розширити стандартну модель res.partner, додавши поле partner_balance. Це поле має загальну суму покупок клієнта.
res.partner  total_invoiced field compute='_invoice_total'","0,5",2,UC-FR6.1.1,"GAP: За замовчуванням, фінансовий баланс не відображається на головній формі контакту. Ризик: Адміністратору рецепції доведеться робити зайві кліки, щоб перевірити баланс, що уповільнює роботу. Архітектурне рішення: Централізація цього поля в єдиному модулі забезпечує цілісність та керованість всіх доопрацювань, пов'язаних з профілем клієнта.",Є на стейджі,MVP,"Мається на увазі поле total amount в рес партнер та інші поля, пов`язані з програмою лояльності",,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,termi_customer_management,Зберігання та відображення дати народження клієнта,Важливо,Розробка,"Модуль termi_customer_management. Додати поле ""Стать"" типу Selection до моделі res.partner та розмістити його на формі контакту.","0,3",1,UC-FR6.1.1,"GAP: У стандартній моделі контакту Odoo Community відсутнє поле ""Стать"".
Ризик: Неможливість реалізації програм лояльності, пов'язаних з статтю.",Є на стейджі,MVP,,,
,3. Управління Клієнтами (CRM),Профіль клієнта,Профіль клієнта,termi_customer_management,Зберігання та відображення дати народження клієнта,Важливо,Розробка,Модуль termi_customer_management. Додати поле birth_date типу Date до моделі res.partner та розмістити його на формі контакту.,"0,3",1,UC-FR6.1.1,"GAP: У стандартній моделі контакту Odoo Community відсутнє поле ""Дата народження"".
Ризик: Неможливість реалізації програм лояльності, пов'язаних з днем народження.",Є на стейджі,MVP,,,
,3. Управління Клієнтами (CRM),Пошук клієнта,Пошук клієнта,termi_customer_management,"Швидкий пошук клієнта за ПІБ, номером телефону та номером картки.",Критично,Розробка,"Модуль termi_customer_management. Розширити метод _name_search моделі res.partner, додавши до пошукового домену умову OR для поля card_number.","0,5",3,UC-FR6.1.2,"GAP: Стандартний швидкий пошук Odoo не знає про наше кастомне поле card_number. Ризик: Без цього розширення, швидкий пошук за карткою (один з ключових сценаріїв для рецепції) буде неможливим.",Не реалізовано,MVP,,,
,3. Управління Клієнтами (CRM),Управління ідентифікаторами (Lifecycle),Управління ідентифікаторами (Lifecycle),termi_customer_management,"Повний життєвий цикл ідентифікаторів: видача, прив'язка, активація, блокування та заміна.",Критично,Розробка,"Додати на форму контакту (res.partner) вкладку ""Історія карток"", де буде список всіх карток клієнта (One2many). Активні-неактивні, використані, прострочені ",2,6,UC-FR6.1.3,"GAP: Odoo не має стандартної системи для управління життєвим циклом фізичних ідентифікаторів. Це значний розрив. Ризик: Якщо реалізувати це ""простим"" шляхом (просто змінюючи поле ""Номер картки"" на контакті), компанія втратить історію ідентифікаторів. Неможливо буде дізнатись, яка картка була у клієнта раніше, коли її було заблоковано тощо. Це може бути критично для безпеки та вирішення спірних ситуацій.",Базовий функціонал,MVP,Закрито смарт-кнопкою картки лояльності,,
,3. Управління Клієнтами (CRM),Управління ідентифікаторами (Lifecycle),Управління ідентифікаторами (Lifecycle),termi_customer_management,"Повний життєвий цикл ідентифікаторів: видача, прив'язка, активація, блокування та заміна.",Критично,Кастомізація,Додати можливість блокування або заміни карток клієнта. Вивести кнопки/дії в інтерфейс,"1,5",4,UC-FR6.1.3,,Базовий функціонал,MVP,Закрито смарт-кнопкою картки лояльності,,
,3. Управління Клієнтами (CRM),Історія клієнта,Історія клієнта,"sale, point_of_sale, termi_customer_management",Перегляд історії покупок клієнта (товари/послуги),Критично,Стандартний функціонал,"На формі контакту є стандартні статистичні кнопки (""smart buttons""), які показують кількість замовлень на продаж/POS-замовлень та дозволяють перейти до їх списку.",0,0,UC-FR6.1.4,"Стандартний функціонал Odoo. Інформація доступна, хоча і не в єдиному списку з іншими операціями.",Базовий функціонал,MVP,,,
,3. Управління Клієнтами (CRM),Історія клієнта,Історія клієнта,"termi_customer_management, sale_loyalty","Перегляд історії операцій з бонусами (нарахування, списання).",Критично,Розробка,"Створити в res.partner табу loyalty.history для запису всіх операцій з бонусами (тип операції, сума, дата, пов'язане замовлення). Додати вкладку ""Історія бонусів"" на форму клієнта.",1,5,UC-FR6.1.4,GAP: Історія бонусів буде доступна тільки після впровадження та допрацювання самого модуля програми лояльності.,Є на деві,MVP,Реалізовано,,
,3. Управління Клієнтами (CRM),Історія клієнта,Історія клієнта,"termi_operations, termi_customer_management","Перегляд історії візитів, які не обов'язково є покупками (напр. консультація, вхід у зал).",Критично,Розробка, Перегляд усіх Appointment-Visit і операцій в них у картці клієнта(нова таба),4,8,UC-FR6.1.4,Взагалі немає такого функціоналу,Є на стейджі,MVP,Закрито модулем Appointments,,
,3. Управління Клієнтами (CRM),Історія клієнта,Історія клієнта,termi_reporting,"Відображення єдиного хронологічного списку всіх операцій (покупки, візити, платежі, бонуси) в одній вкладці.",Критично,Розробка,"Розробити кастомний віджет (Client Action), що відображатиме дані зі спеціального SQL View. View має об'єднувати дані з різних моделей (sale.order, account.payment, termi.visit тощо) та обов'язково містити поля model і res_id для забезпечення інтерактивної навігації (клік для переходу до вихідного документа). Розширити XML-представлення форми контакту (res.partner.form), додавши нову вкладку (<page>) з назвою ""Історія"". В цю вкладку буде вбудовано кастомний віджет (Client Action), розроблений для відображення хронології операцій.",3,24,UC-FR6.1.4,GAP: Це найбільший розрив у цьому UC. Odoo не має механізму для відображення гетерогенних даних з різних моделей в єдиному хронологічному списку. Ризик: Продуктивність. Без використання SQL View такий звіт буде працювати неприйнятно повільно на реальних даних.,Є на деві,MVP,Реалізовано,,
,3. Управління Клієнтами (CRM),Депозитна система,Поповнення депозиту," account, https://kitworks.systems/shop/integratsiia-z-sistemoiu-checkbox-161#attr=839,753, https://kitworks.systems/shop/integratsiia-z-sistemoiu-checkbox-dlia-pos-37#attr=846,758 , pos",Поповнення депозиту з розрізненням фіскального/нефіскального типу та друком чека.,Критично,Розробка,"Стандартний функціонал створення платежу (account.payment) не має опції фіскалізації. Потрібна інтеграція з ПРРО для коректної роботи. Попередньо буде через модуль https://apps.odoo.com/apps/modules/18.0/bi_internal_wallet , треба уточнити коли вже буде стандартне ТЗ",3,16,UC-FR6.1.5,"GAP: Це найбільший розрив. Потрібна значна розробка:
1. Створити новий інтерфейс для операції ""Поповнити депозит"".
2. Додати логіку для вибору типу операції.
3. Інтегрувати цей процес з модулем фіскалізації (ПРРО) для друку відповідних чеків.",Частково закрито,Потрібно уточнити вимогу,"Поповнення депозиту є. Блокер - неможливо зробити розрізнення фіскальний нефіскальний поки не буде інтеграції з платіжними системами. Ніби уточняли що поповнення завжди нефіскальне, але не впевнена.",,
,3. Управління Клієнтами (CRM),Депозитна система,Оплата депозитом,"point_of_sale, sale",Обробка ситуації недостатнього балансу на депозиті.,Критично,Стандартний функціонал,"Стандартний функціонал POS дозволяє комбінувати методи оплати. Якщо на депозиті недостатньо коштів, система спише доступний залишок і запропонує оплатити решту іншим методом (готівка/картка).",0,0,UC-FR6.1.5,Стандартна поведінка Odoo.,Базовий функціонал,MVP,,,
,3. Управління Клієнтами (CRM),Депозитна система,Депозитний рахунок,account,Зберігання та відображення балансу депозиту клієнта.,Критично,Кастомізація,"Можна використовувати стандартний кредитний баланс клієнта (передоплати). Odoo відстежує це в ""Книзі партнера"".  Вивести поле з балансом e-Wallet у картку клієнта. Якщо використовувати модуль https://apps.odoo.com/apps/modules/18.0/bi_internal_wallet то не потрібно виводити. Можливо - трохи змінити місцерозташування.","0,5",1,"UC-FR6.1.5, UC-FR6.5.5","GAP: Стандартний баланс не є явно ""депозитним"". Для зручності потрібно:
1. Створити окремий бухгалтерський журнал ""Депозити"".
2. Вивести поле ""Депозитний баланс"" прямо на картку клієнта.
Ризик: Без цього адміністратори будуть плутати звичайну заборгованість з депозитом.",Є на деві,MVP,Реалізовано. Уточнення - мається на увазі функціонал Internal Wallet,,
,3. Управління Клієнтами (CRM),Програма лояльності (Бонуси),Програма лояльності,"termi_customer_management, pos",Автоматичне нарахування бонусів після успішної оплати замовлення (в Sale або Point of Sale).,Критично,Розробка,"Розширити логіку підтвердження замовлення (sale.order) та оплати в POS (pos.order). Після успішної операції має спрацьовувати тригер, який викликає метод розрахунку та нарахування бонусів. 
Модуль https://apps.odoo.com/apps/modules/18.0/bi_loyalty_generic_advance ",1,12,UC-FR6.1.6.1,GAP: Немає стандартних тригерів для нарахування бонусів.,Є на деві,MVP,,,
